year,county_fips,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
2008,46059,0.3624432104997476,0.6294800605754669,REPUBLICAN,0.6294800605754669
2012,46059,0.31114718614718617,0.672077922077922,DEMOCRAT,0.31114718614718617
2016,46059,0.18371837183718373,0.7651265126512651,DEMOCRAT,0.18371837183718373
2020,46059,0.20315904139433552,0.7805010893246187,REPUBLICAN,0.7805010893246187
2024,46059,0.20691609977324263,0.780045351473923,DEMOCRAT,0.20691609977324263
2000,46061,0.3216045038705137,0.6643209007741028,DEMOCRAT,0.3216045038705137
2004,46061,0.34651162790697676,0.6413953488372093,REPUBLICAN,0.6413953488372093
2008,46061,0.3980944490472245,0.5907207953603977,REPUBLICAN,0.5907207953603977
2012,46061,0.31456953642384106,0.6734271523178808,DEMOCRAT,0.31456953642384106
2016,46061,0.21136590229312063,0.7462612163509471,DEMOCRAT,0.21136590229312063
2020,46061,0.233249581239531,0.7508375209380235,REPUBLICAN,0.7508375209380235
2024,46061,0.19501466275659823,0.7873900293255132,DEMOCRAT,0.19501466275659823
2000,46063,0.08755129958960328,0.8891928864569083,DEMOCRAT,0.08755129958960328
2004,46063,0.11533742331288344,0.8638036809815951,REPUBLICAN,0.8638036809815951
2008,46063,0.18698060941828254,0.796398891966759,REPUBLICAN,0.796398891966759
2012,46063,0.11096075778078485,0.8633288227334236,DEMOCRAT,0.11096075778078485
2016,46063,0.04935064935064935,0.9025974025974026,DEMOCRAT,0.04935064935064935
2020,46063,0.06027060270602706,0.9200492004920049,REPUBLICAN,0.9200492004920049
2024,46063,0.05853658536585366,0.9195121951219513,DEMOCRAT,0.05853658536585366
2000,46065,0.2936023360764534,0.6886116272896204,DEMOCRAT,0.2936023360764534
2004,46065,0.30526315789473685,0.681041312959819,REPUBLICAN,0.681041312959819
2008,46065,0.36215120438826615,0.6317672310994514,REPUBLICAN,0.6317672310994514
2012,46065,0.34163090128755363,0.6399754751686082,DEMOCRAT,0.34163090128755363
2016,46065,0.2996941896024465,0.6329051987767584,DEMOCRAT,0.2996941896024465
2020,46065,0.3385303221368795,0.6330390920554855,REPUBLICAN,0.6330390920554855
2024,46065,0.3364552459988145,0.6377000592768227,DEMOCRAT,0.3364552459988145
2000,46067,0.29020689655172416,0.6888275862068965,DEMOCRAT,0.29020689655172416
2004,46067,0.28381962864721483,0.6990595611285266,REPUBLICAN,0.6990595611285266
2008,46067,0.34877843302443134,0.6416736871665263,REPUBLICAN,0.6416736871665263
2012,46067,0.2694890510948905,0.7156204379562043,DEMOCRAT,0.2694890510948905
2016,46067,0.20564635958395244,0.7479940564635958,DEMOCRAT,0.20564635958395244
2020,46067,0.20228298380674276,0.7815237589593841,REPUBLICAN,0.7815237589593841
2024,46067,0.20208779443254818,0.7810492505353319,DEMOCRAT,0.20208779443254818
